,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date
34,92ef0bc6-21bc-11ea-a13a-137349068a90,372,92ef0bc6-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:13:29.000,1,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:13:29,2015-02-11
35,89e3a9c4-21bc-11ea-a13a-137349068a90,372,89e3a9c4-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:13:30.000,2,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:13:30,2015-02-11
36,902e0068-21bc-11ea-a13a-137349068a90,372,902e0068-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:13:31.000,3,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:13:31,2015-02-11
37,905dcd34-21bc-11ea-a13a-137349068a90,372,905dcd34-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:02.000,4,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:02,2015-02-11
38,97db7e26-21bc-11ea-a13a-137349068a90,372,97db7e26-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:03.000,5,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:03,2015-02-11
39,8e762bce-21bc-11ea-a13a-137349068a90,372,8e762bce-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:04.000,6,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:04,2015-02-11
40,8bbbf896-21bc-11ea-a13a-137349068a90,372,8bbbf896-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:19.000,7,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:19,2015-02-11
41,8caf22be-21bc-11ea-a13a-137349068a90,372,8caf22be-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:20.000,8,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:20,2015-02-11
42,8cdc1e40-21bc-11ea-a13a-137349068a90,372,8cdc1e40-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:14:21.000,9,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:14:21,2015-02-11
43,8fd37972-21bc-11ea-a13a-137349068a90,372,8fd37972-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 01:15:11.000,10,302f54e0-7d42-11eb-8fb5-0242ac1c0002,102,kobus ellipsiprymnus,2015-02-11 01:15:11,2015-02-11
287,94b9f45c-21bc-11ea-a13a-137349068a90,130,94b9f45c-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:09.000,1,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:09,2013-01-21
288,90a5c1ca-21bc-11ea-a13a-137349068a90,130,90a5c1ca-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:10.000,2,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:10,2013-01-21
289,97d7a0f8-21bc-11ea-a13a-137349068a90,130,97d7a0f8-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:11.000,3,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:11,2013-01-21
290,982428c4-21bc-11ea-a13a-137349068a90,130,982428c4-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:26.000,4,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:26,2013-01-21
291,8eaa35fe-21bc-11ea-a13a-137349068a90,130,8eaa35fe-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:27.000,5,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:27,2013-01-21
292,931a1a6e-21bc-11ea-a13a-137349068a90,130,931a1a6e-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:28.000,6,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:28,2013-01-21
293,91918a9c-21bc-11ea-a13a-137349068a90,130,91918a9c-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:46.000,7,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:46,2013-01-21
294,98c08836-21bc-11ea-a13a-137349068a90,130,98c08836-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:47.000,8,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:47,2013-01-21
295,9569e5a6-21bc-11ea-a13a-137349068a90,130,9569e5a6-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:49:48.000,9,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:49:48,2013-01-21
296,8b7279f0-21bc-11ea-a13a-137349068a90,130,8b7279f0-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 10:50:04.000,10,302ee820-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-01-21 10:50:04,2013-01-21
487,8bdb4354-21bc-11ea-a13a-137349068a90,410,8bdb4354-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 13:24:09.000,1,94a8a56c-21bc-11ea-a13a-137349068a90,0,empty,2013-01-21 13:24:09,2013-01-21
488,94a8a472-21bc-11ea-a13a-137349068a90,410,94a8a472-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 13:24:10.000,2,94a8a56c-21bc-11ea-a13a-137349068a90,0,empty,2013-01-21 13:24:10,2013-01-21
489,8728bc6a-21bc-11ea-a13a-137349068a90,410,8728bc6a-21bc-11ea-a13a-137349068a90.jpg,2013-01-21 13:24:11.000,3,94a8a56c-21bc-11ea-a13a-137349068a90,0,empty,2013-01-21 13:24:11,2013-01-21
1211,90d6f66e-21bc-11ea-a13a-137349068a90,10,90d6f66e-21bc-11ea-a13a-137349068a90.jpg,2013-03-03 18:36:43.000,1,9651a58a-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2013-03-03 18:36:43,2013-03-03
1212,8f7a71b0-21bc-11ea-a13a-137349068a90,10,8f7a71b0-21bc-11ea-a13a-137349068a90.jpg,2013-03-03 18:36:44.000,2,9651a58a-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2013-03-03 18:36:44,2013-03-03
1213,9651a40e-21bc-11ea-a13a-137349068a90,10,9651a40e-21bc-11ea-a13a-137349068a90.jpg,2013-03-03 18:36:45.000,3,9651a58a-21bc-11ea-a13a-137349068a90,96,aepyceros melampus,2013-03-03 18:36:45,2013-03-03
