,Unnamed: 0,image_id,location,filename,datetime,frame_num,seq_id,category_id,category_name,datetime_obj,date,uid
4641,48794,8b854cec-21bc-11ea-a13a-137349068a90,501,8b854cec-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:26:44.000,128,302ad456-7d42-11eb-8fb5-0242ac1c0002,90,loxodonta africana,2013-02-19 11:26:44,2013-02-19,test3_0
9240,120622,8916c512-21bc-11ea-a13a-137349068a90,501,8916c512-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:59:14.000,22,3029beb8-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:59:14,2013-02-19,test3_1
1300,169575,8f479718-21bc-11ea-a13a-137349068a90,328,8f479718-21bc-11ea-a13a-137349068a90.jpg,2015-02-16 16:20:47.000,2,92bbe2a0-21bc-11ea-a13a-137349068a90,115,madoqua guentheri,2015-02-16 16:20:47,2015-02-16,test3_2
10093,132386,8ebffdb2-21bc-11ea-a13a-137349068a90,501,8ebffdb2-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 14:51:35.000,121,3026bace-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2013-02-19 14:51:35,2013-02-19,test3_3
2208,8146,918b9984-21bc-11ea-a13a-137349068a90,501,918b9984-21bc-11ea-a13a-137349068a90.jpg,2013-02-19 11:43:00.000,11,302ed286-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-19 11:43:00,2013-02-19,test3_4
5483,61088,9896889c-21bc-11ea-a13a-137349068a90,501,9896889c-21bc-11ea-a13a-137349068a90.jpg,2013-02-20 13:24:41.000,40,30269940-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-20 13:24:41,2013-02-20,test3_5
3304,25884,8be6f852-21bc-11ea-a13a-137349068a90,53,8be6f852-21bc-11ea-a13a-137349068a90.jpg,2015-02-11 10:30:55.000,27,302eee38-7d42-11eb-8fb5-0242ac1c0002,71,bos taurus,2015-02-11 10:30:55,2015-02-11,test3_6
443,52707,9268108a-21bc-11ea-a13a-137349068a90,306,9268108a-21bc-11ea-a13a-137349068a90.jpg,2015-02-01 15:07:00.000,1,3000cba2-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2015-02-01 15:07:00,2015-02-01,test3_7
6858,83388,92bc04b0-21bc-11ea-a13a-137349068a90,499,92bc04b0-21bc-11ea-a13a-137349068a90.jpg,2013-02-02 19:22:00.000,1,9908358c-21bc-11ea-a13a-137349068a90,90,loxodonta africana,2013-02-02 19:22:00,2013-02-02,test3_8
4091,40228,89c29716-21bc-11ea-a13a-137349068a90,501,89c29716-21bc-11ea-a13a-137349068a90.jpg,2013-02-21 12:12:28.000,14,302456ee-7d42-11eb-8fb5-0242ac1c0002,96,aepyceros melampus,2013-02-21 12:12:28,2013-02-21,test3_9
